"id","description","last_updated"
"336903","Pork chop, breaded or floured, broiled or baked, lean and fat eaten","2019-04-01"
"336904","Pork chop, breaded or floured, broiled or baked, lean only eaten","2019-04-01"
"336905","Pork chop, fried, NS as to fat eaten","2019-04-01"
"336906","Pork chop, fried, lean and fat eaten","2019-04-01"
"336907","Pork chop, fried, lean only eaten","2019-04-01"
"336908","Pork chop, breaded or floured, fried, NS as to fat eaten","2019-04-01"
"336909","Pork chop, breaded or floured, fried, lean and fat eaten","2019-04-01"
"336910","Pork chop, breaded or floured, fried, lean only eaten","2019-04-01"
"336911","Pork chop, battered, fried, NS as to fat eaten","2019-04-01"
"336912","Pork chop, battered, fried, lean and fat eaten","2019-04-01"
"336913","Pork chop, battered, fried, lean only eaten","2019-04-01"
"336914","Pork chop, stewed, NS as to fat eaten","2019-04-01"
"336915","Pork chop, stewed, lean and fat eaten","2019-04-01"
"336916","Pork chop, stewed, lean only eaten","2019-04-01"
"336920","Pork steak or cutlet, NS as to cooking method, NS as to fat eaten","2019-04-01"
"336921","Pork steak or cutlet, NS as to cooking method, lean and fat eaten","2019-04-01"
"336922","Pork steak or cutlet, NS as to cooking method, lean only eaten","2019-04-01"
"336923","Pork steak or cutlet, battered, fried, NS as to fat eaten","2019-04-01"
"336924","Pork steak or cutlet, battered, fried, lean and fat eaten","2019-04-01"
"336925","Pork steak or cutlet, battered, fried, lean only eaten","2019-04-01"
"336926","Pork steak or cutlet, broiled or baked, NS as to fat eaten","2019-04-01"
"336927","Pork steak or cutlet, broiled or baked, lean and fat eaten","2019-04-01"
"336928","Pork steak or cutlet, broiled or baked, lean only eaten","2019-04-01"
"336929","Pork steak or cutlet, fried, NS as to fat eaten","2019-04-01"
"336930","Pork steak or cutlet, fried, lean and fat eaten","2019-04-01"
"336931","Pork steak or cutlet, fried, lean only eaten","2019-04-01"
"336932","Pork steak or cutlet, breaded or floured, broiled or baked, NS as to fat eaten","2019-04-01"
"336933","Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","2019-04-01"
"336934","Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","2019-04-01"
"336935","Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","2019-04-01"
"336936","Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","2019-04-01"
