"fdc_id","data_type","description","food_category_id","publication_date"
"336237","survey_fndds_food","Strawberry milk, NFS","","2019-04-01"
"336238","survey_fndds_food","Strawberry milk, whole","","2019-04-01"
"336239","survey_fndds_food","Strawberry milk, reduced fat (2%)","","2019-04-01"
"336240","survey_fndds_food","Strawberry milk, low fat (1%)","","2019-04-01"
"336241","survey_fndds_food","Strawberry milk, fat free (skim)","","2019-04-01"
"336242","survey_fndds_food","Strawberry milk, non-dairy","","2019-04-01"
"336243","survey_fndds_food","Milk, malted, natural flavor, made with milk","","2019-04-01"
"336244","survey_fndds_food","Milk, malted, chocolate, made with milk","","2019-04-01"
"336245","survey_fndds_food","Eggnog, regular","","2019-04-01"
"336246","survey_fndds_food","Eggnog, lowfat / light","","2019-04-01"
"336247","survey_fndds_food","Milk shake, home recipe, chocolate","","2019-04-01"
"336248","survey_fndds_food","Milk shake, home recipe, flavors other than chocolate","","2019-04-01"
"336249","survey_fndds_food","Milk shake, home recipe, chocolate, light","","2019-04-01"
"336250","survey_fndds_food","Milk shake, home recipe, flavors other than chocolate, light","","2019-04-01"
"336251","survey_fndds_food","Milk shake with malt","","2019-04-01"
"336252","survey_fndds_food","Milk shake, fast food, chocolate","","2019-04-01"
"336253","survey_fndds_food","Milk shake, fast food, flavors other than chocolate","","2019-04-01"
"336254","survey_fndds_food","Milk shake, bottled, chocolate","","2019-04-01"
"336255","survey_fndds_food","Milk shake, bottled, flavors other than chocolate","","2019-04-01"
"336261","survey_fndds_food","Yoo-hoo, chocolate milk drink","","2019-04-01"
"336595","survey_fndds_food","Ice cream soda, flavors other than chocolate","","2019-04-01"
"336596","survey_fndds_food","Ice cream soda, chocolate","","2019-04-01"
"336706","survey_fndds_food","Cheese, NFS","","2019-04-01"
"336707","survey_fndds_food","Cheese, Blue or Roquefort","","2019-04-01"
"336708","survey_fndds_food","Cheese, Brick","","2019-04-01"
"336709","survey_fndds_food","Cheese, Camembert","","2019-04-01"
"336710","survey_fndds_food","Cheese, Brie","","2019-04-01"
"336711","survey_fndds_food","Cheese, Cheddar","","2019-04-01"
"336712","survey_fndds_food","Cheese, Cheddar, reduced fat","","2019-04-01"
"336713","survey_fndds_food","Cheese, Cheddar, nonfat or fat free","","2019-04-01"
"336714","survey_fndds_food","Cheese, Colby","","2019-04-01"
"336715","survey_fndds_food","Cheese, Colby Jack","","2019-04-01"
"336716","survey_fndds_food","Cheese, Feta","","2019-04-01"
"336717","survey_fndds_food","Cheese, Fontina","","2019-04-01"
"336718","survey_fndds_food","Cheese, goat","","2019-04-01"
"336719","survey_fndds_food","Cheese, Gouda or Edam","","2019-04-01"
"336720","survey_fndds_food","Cheese, Gruyere","","2019-04-01"
"336721","survey_fndds_food","Cheese, Limburger","","2019-04-01"
"336722","survey_fndds_food","Cheese, Monterey","","2019-04-01"
"336723","survey_fndds_food","Cheese, Monterey, reduced fat","","2019-04-01"
"336724","survey_fndds_food","Cheese, Mozzarella, NFS","","2019-04-01"
"336725","survey_fndds_food","Cheese, Mozzarella, whole milk","","2019-04-01"
"336726","survey_fndds_food","Cheese, Mozzarella, part skim","","2019-04-01"
"336727","survey_fndds_food","Cheese, Mozzarella, reduced sodium","","2019-04-01"
"336728","survey_fndds_food","Cheese, Mozzarella, nonfat or fat free","","2019-04-01"
"336729","survey_fndds_food","Cheese, Muenster","","2019-04-01"
"336730","survey_fndds_food","Cheese, Muenster, reduced fat","","2019-04-01"
"336731","survey_fndds_food","Cheese, Parmesan, dry grated","","2019-04-01"
"336732","survey_fndds_food","Cheese, Parmesan, dry grated, reduced fat","","2019-04-01"
"336733","survey_fndds_food","Cheese, Parmesan, hard","","2019-04-01"
"336734","survey_fndds_food","Cheese, Parmesan, dry grated, fat free","","2019-04-01"
"336735","survey_fndds_food","Cheese, Port du Salut","","2019-04-01"
"336736","survey_fndds_food","Cheese, Provolone","","2019-04-01"
"336737","survey_fndds_food","Cheese, provolone, reduced fat","","2019-04-01"
"336738","survey_fndds_food","Cheese, Swiss","","2019-04-01"
"336739","survey_fndds_food","Cheese, Swiss, reduced sodium","","2019-04-01"
"336740","survey_fndds_food","Cheese, Swiss, reduced fat","","2019-04-01"
"336741","survey_fndds_food","Cheese, Swiss, nonfat or fat free","","2019-04-01"
"336742","survey_fndds_food","Cheese, Cheddar, reduced sodium","","2019-04-01"
"336743","survey_fndds_food","Cheese, Mexican blend","","2019-04-01"
"336744","survey_fndds_food","Cheese, Mexican blend, reduced fat","","2019-04-01"
"336745","survey_fndds_food","Queso Anejo (aged Mexican cheese)","","2019-04-01"
"336746","survey_fndds_food","Queso Asadero","","2019-04-01"
"336747","survey_fndds_food","Queso Chihuahua","","2019-04-01"
"336748","survey_fndds_food","Queso Fresco","","2019-04-01"
"336749","survey_fndds_food","Queso cotija","","2019-04-01"
"336750","survey_fndds_food","Cheese, cottage, NFS","","2019-04-01"
"336751","survey_fndds_food","Cheese, cottage, creamed, large or small curd","","2019-04-01"
"336752","survey_fndds_food","Cottage cheese, farmer's","","2019-04-01"
"336753","survey_fndds_food","Cheese, Ricotta","","2019-04-01"
"336754","survey_fndds_food","Cheese, cottage, with fruit","","2019-04-01"
"336755","survey_fndds_food","Cheese, cottage, with vegetables","","2019-04-01"
"336756","survey_fndds_food","Cheese, cottage, dry curd","","2019-04-01"
"336757","survey_fndds_food","Cheese, cottage, salted, dry curd","","2019-04-01"
"336758","survey_fndds_food","Puerto Rican white cheese (queso del pais, blanco)","","2019-04-01"
