"id","description","last_updated"
"784279","Green or yellow split peas, dry, cooked, made with margarine","2020-04-01"
"784280","Green or yellow split peas, dry, cooked, NS as to fat added in cooking","2020-04-01"
"784281","Wasabi peas","2020-04-01"
"784282","Peas, dry, cooked with pork","2020-04-01"
"784283","Cowpeas, dry, cooked with pork","2020-04-01"
"784284","Lentils, dry, cooked, NS as to fat added in cooking","2020-04-01"
"784285","Lentils, dry, cooked, fat added in cooking, NS as to type of fat","2020-04-01"
"784286","Lentils, dry, cooked, made with oil","2020-04-01"
"784287","Lentils, dry, cooked, made with animal fat or meat drippings","2020-04-01"
"784288","Lentils, dry, cooked, made with margarine","2020-04-01"
"784289","Lentils, dry, cooked, fat not added in cooking","2020-04-01"
"784290","Loaf, lentil","2020-04-01"
"784291","Stewed chickpeas, Puerto Rican style","2020-04-01"
"784292","Stewed chickpeas, with potatoes, Puerto Rican style","2020-04-01"
"784293","Chickpeas stewed with pig's feet, Puerto Rican style","2020-04-01"
"784294","Stewed chickpeas with Spanish sausages, Puerto Rican style","2020-04-01"
"784295","Fried chickpeas with bacon, Puerto Rican style","2020-04-01"
"784297","Papad, grilled or broiled","2020-04-01"
"784299","Soy nuts","2020-04-01"
"784301","Soybean curd","2020-04-01"
"784302","Edamame, cooked","2020-04-01"
"784303","Soybean curd cheese","2020-04-01"
"784310","Yogurt, soy","2020-04-01"
"784314","Soybean curd, deep fried","2020-04-01"
"784315","Soybean curd, breaded, fried","2020-04-01"
"784316","Soybean meal","2020-04-01"
"784318","Textured vegetable protein, dry","2020-04-01"
"784342","Bacon strip, meatless","2020-04-01"
"784343","Bacon bits","2020-04-01"
"784344","Breakfast link, pattie, or slice, meatless","2020-04-01"
"784345","Chicken, meatless, NFS","2020-04-01"
"784346","Chicken, meatless, breaded, fried","2020-04-01"
"784347","Frankfurter or hot dog, meatless","2020-04-01"
"784348","Luncheon slice, meatless-beef, chicken, salami or turkey","2020-04-01"
"784349","Meatball, meatless","2020-04-01"
"784350","Vegetarian burger or patty, meatless, no bun","2020-04-01"
"784351","Swiss steak, with gravy, meatless","2020-04-01"
"784352","Sandwich spread, meat substitute type","2020-04-01"
"784353","Vegetarian pot pie","2020-04-01"
"784354","Vegetarian chili, made with meat substitute","2020-04-01"
"784357","Vegetarian, fillet","2020-04-01"
"784358","Vegetarian stew","2020-04-01"
"784359","Vegetarian stroganoff","2020-04-01"
"784360","Vegetarian meat loaf","2020-04-01"
"784361","Soyburger, meatless, with cheese on bun","2020-04-01"
"784362","Nuts, NFS","2020-04-01"
"784363","Almonds, NFS","2020-04-01"
"784364","Almonds, unroasted","2020-04-01"
"784365","Almonds, salted","2020-04-01"
"784366","Almonds, lightly salted","2020-04-01"
"784367","Almonds, unsalted","2020-04-01"
"784368","Almonds, flavored","2020-04-01"
"784369","Almonds, honey roasted","2020-04-01"
"784370","Brazil nuts","2020-04-01"
"784371","Cashews, NFS","2020-04-01"
"784372","Cashews, unroasted","2020-04-01"
"784373","Cashews, salted","2020-04-01"
"784374","Cashews, lightly salted","2020-04-01"
"784375","Cashews, unsalted","2020-04-01"
"784376","Cashews, honey roasted","2020-04-01"
"784377","Chestnuts","2020-04-01"
"784378","Coconut, fresh","2020-04-01"
"784379","Coconut, packaged","2020-04-01"
"784380","Hazelnuts","2020-04-01"
"784381","Macadamia nuts","2020-04-01"
"784382","Mixed nuts, NFS","2020-04-01"
"784383","Mixed nuts, unroasted","2020-04-01"
"784384","Mixed nuts, with peanuts, salted","2020-04-01"
"784385","Mixed nuts, with peanuts, lightly salted","2020-04-01"
"784386","Mixed nuts, with peanuts, unsalted","2020-04-01"
"784387","Mixed nuts, without peanuts, salted","2020-04-01"
"784388","Mixed nuts, without peanuts, unsalted","2020-04-01"
"784389","Mixed nuts, honey roasted","2020-04-01"
"784390","Peanuts, NFS","2020-04-01"
"784391","Peanuts, boiled","2020-04-01"
"784392","Peanuts, unroasted","2020-04-01"
"784393","Peanuts, roasted, salted","2020-04-01"
"784394","Peanuts, roasted, unsalted","2020-04-01"
"784395","Peanuts, dry roasted, salted","2020-04-01"
"784396","Peanuts, dry roasted, lightly salted","2020-04-01"
"784397","Peanuts, dry roasted, unsalted","2020-04-01"
"784398","Peanuts, honey roasted","2020-04-01"
"784399","Pecans, NFS","2020-04-01"
"784400","Pecans, unroasted","2020-04-01"
"784401","Pecans, salted","2020-04-01"
"784402","Pecans, unsalted","2020-04-01"
"784403","Pecans, honey roasted","2020-04-01"
"784404","Pine nuts","2020-04-01"
"784405","Pistachio nuts, NFS","2020-04-01"
"784406","Pistachio nuts, salted","2020-04-01"
"784407","Pistachio nuts, lightly salted","2020-04-01"
"784408","Pistachio nuts, unsalted","2020-04-01"
"784409","Walnuts, NFS","2020-04-01"
"784410","Walnuts","2020-04-01"
"784411","Walnuts, honey roasted","2020-04-01"
"784412","Almond butter","2020-04-01"
"784413","Almond butter, lower sodium","2020-04-01"
"784414","Almond paste","2020-04-01"
"784415","Cashew butter","2020-04-01"
"784416","Peanut butter","2020-04-01"
"784417","Peanut butter, lower sodium","2020-04-01"
"784418","Peanut butter, lower sodium and lower sugar","2020-04-01"
"784419","Peanut butter, lower sugar","2020-04-01"
"784420","Peanut butter, reduced fat","2020-04-01"
"784421","Peanut butter, vitamin and mineral fortified","2020-04-01"
"784422","Peanut butter and jelly","2020-04-01"
"784423","Peanut butter and chocolate spread","2020-04-01"
"784452","Trail mix, NFS","2020-04-01"
"784453","Trail mix with nuts","2020-04-01"
"784454","Trail mix with nuts and fruit","2020-04-01"
"784455","Trail mix with chocolate","2020-04-01"
"784456","Trail mix with pretzels, cereal, or granola","2020-04-01"
"784457","Pumpkin seeds, NFS","2020-04-01"
"784458","Pumpkin seeds, salted","2020-04-01"
"784459","Pumpkin seeds, unsalted","2020-04-01"
"784460","Sunflower seeds, plain, unsalted","2020-04-01"
"784461","Sunflower seeds, plain, salted","2020-04-01"
"784462","Sunflower seeds, flavored","2020-04-01"
"784463","Sunflower seeds, NFS","2020-04-01"
"784464","Sesame seeds","2020-04-01"
"784465","Tahini","2020-04-01"
"784466","Flax seeds","2020-04-01"
"784467","Mixed seeds","2020-04-01"
"784468","Chia seeds","2020-04-01"
"786010","Kibby, Puerto Rican style","2020-04-01"
"786544","Meat substitute, cereal- and vegetable protein-based, fried","2020-04-01"
"787402","Spinach souffle","2020-04-01"
"787639","Squash, winter, souffle","2020-04-01"
"788792","Squash, summer, souffle","2020-04-01"
"781739","Topping from cheese pizza","2020-04-01"
"781740","Topping from vegetable pizza","2020-04-01"
"781741","Topping from meat pizza","2020-04-01"
"781742","Topping from meat and vegetable pizza","2020-04-01"
"782284","Turkey with barbecue sauce, skin eaten","2020-04-01"
"782285","Turkey with barbecue sauce, skin not eaten","2020-04-01"
"782847","Beef with soy-based sauce","2020-04-01"
"782848","Steak teriyaki","2020-04-01"
"782851","Beef with sweet and sour sauce","2020-04-01"
"782861","Sweet and sour pork","2020-04-01"
"782868","Pork or ham with soy-based sauce","2020-04-01"
"782889","Chicken or turkey cacciatore","2020-04-01"
"782892","Stewed chicken with tomato-based sauce, Mexican style","2020-04-01"
"782893","Chili con carne with chicken or turkey and beans","2020-04-01"
"782894","Chicken with gravy","2020-04-01"
"782895","Chicken or turkey fricassee","2020-04-01"
"782896","Turkey with gravy","2020-04-01"
"782897","Chicken or turkey with cream sauce","2020-04-01"
"782898","Chicken or turkey with mushroom sauce","2020-04-01"
"782899","Chicken or turkey with teriyaki","2020-04-01"
"782900","Chicken, shredded or pulled, with barbecue sauce","2020-04-01"
"782901","Sweet and sour chicken or turkey","2020-04-01"
"782902","Sweet and sour chicken or turkey, without vegetables","2020-04-01"
"782903","Chicken curry","2020-04-01"
"782904","Chicken with mole sauce","2020-04-01"
"782905","Chicken or turkey with cheese sauce","2020-04-01"
"782906","Chicken or turkey cordon bleu","2020-04-01"
"782907","Chicken or turkey parmigiana","2020-04-01"
"782908","Orange chicken","2020-04-01"
"782909","Sesame chicken","2020-04-01"
"782910","Chicken kiev","2020-04-01"
"782911","Stuffed chicken, drumstick or breast, Puerto Rican style","2020-04-01"
"782912","Fish with cream or white sauce, not tuna or lobster","2020-04-01"
"782913","Crab, deviled","2020-04-01"
"782914","Crab imperial","2020-04-01"
"782915","Fish timbale or mousse","2020-04-01"
"782916","Lobster newburg","2020-04-01"
"782918","Shrimp curry","2020-04-01"
"782920","Tuna with cream or white sauce","2020-04-01"
"782921","Seafood newburg","2020-04-01"
"782925","Shrimp with lobster sauce","2020-04-01"
"782926","Sweet and sour shrimp","2020-04-01"
"782931","Fish moochim","2020-04-01"
"782932","Fish with tomato-based sauce","2020-04-01"
"782933","Fish curry","2020-04-01"
"782934","Mussels with tomato-based sauce","2020-04-01"
"782935","Sardines with tomato-based sauce","2020-04-01"
"782936","Sardines with mustard sauce","2020-04-01"
"782937","Shrimp teriyaki","2020-04-01"
"782938","Scallops with cheese sauce","2020-04-01"
"782939","Ceviche","2020-04-01"
"782940","Crabs in tomato-based sauce, Puerto Rican style","2020-04-01"
"782941","Shrimp in garlic sauce, Puerto Rican style","2020-04-01"
"782942","Stewed codfish, no potatoes, Puerto Rican style","2020-04-01"
"782970","Beef and noodles with soy-based sauce","2020-04-01"
"782972","Biryani with meat","2020-04-01"
"782980","Beef and rice with soy-based sauce","2020-04-01"
"783014","Chicken or turkey hash","2020-04-01"
"783015","Chicken or turkey and potatoes with gravy","2020-04-01"
"783016","Chicken or turkey and noodles, no sauce","2020-04-01"
"783017","Chicken or turkey and noodles with gravy","2020-04-01"
"783018","Chicken or turkey and noodles with mushroom sauce","2020-04-01"
"783019","Chicken or turkey and noodles with cream or white sauce","2020-04-01"
"783020","Chicken or turkey and noodles with cheese sauce","2020-04-01"
"783021","Chicken or turkey tetrazzini","2020-04-01"
"783022","Chicken or turkey and noodles with tomato-based sauce","2020-04-01"
"783023","Chicken or turkey and noodles with soy-based sauce","2020-04-01"
"783024","Chicken or turkey and rice, no sauce","2020-04-01"
"783025","Biryani with chicken","2020-04-01"
"783026","Chicken or turkey and rice with cream sauce","2020-04-01"
"783027","Chicken or turkey and rice with mushroom sauce","2020-04-01"
"783028","Chicken or turkey and rice with tomato-based sauce","2020-04-01"
"783029","Chicken or turkey and rice with soy-based sauce","2020-04-01"
"783030","Chicken in cheese sauce with Spanish rice","2020-04-01"
"783031","Chicken or turkey with dumplings","2020-04-01"
"783032","Chicken or turkey with stuffing","2020-04-01"
"783033","Chicken or turkey cake, patty, or croquette","2020-04-01"
"783035","Meat loaf made with chicken or turkey","2020-04-01"
"783036","Meat loaf made with chicken or turkey, with tomato-based sauce","2020-04-01"
"783037","Clams, stuffed","2020-04-01"
"783038","Codfish ball or cake","2020-04-01"
"783039","Crab cake","2020-04-01"
"783040","Fish cake or patty, NS as to fish","2020-04-01"
"783041","Gefilte fish","2020-04-01"
"783042","Salmon cake or patty","2020-04-01"
"783043","Salmon loaf","2020-04-01"
"783044","Scallops and noodles with cheese sauce","2020-04-01"
"783045","Shrimp and noodles, no sauce","2020-04-01"
"783046","Shrimp and noodles with gravy","2020-04-01"
"783047","Shrimp and noodles with mushroom sauce","2020-04-01"
"783048","Shrimp and noodles with cream or white sauce","2020-04-01"
"783049","Shrimp and noodles with soy-based sauce","2020-04-01"
"783050","Shrimp and noodles with cheese sauce","2020-04-01"
"783051","Shrimp and noodles with tomato sauce","2020-04-01"
"783052","Tuna loaf","2020-04-01"
"783053","Tuna cake or patty","2020-04-01"
"783054","Clam cake or patty","2020-04-01"
"783055","Oyster fritter","2020-04-01"
"783056","Flounder with crab stuffing","2020-04-01"
"783057","Lobster with bread stuffing, baked","2020-04-01"
"783058","Clams Casino","2020-04-01"
"783059","Mackerel cake or patty","2020-04-01"
"783060","Haddock cake or patty","2020-04-01"
"783061","Shrimp cake or patty","2020-04-01"
"783062","Shrimp with crab stuffing","2020-04-01"
"783063","Shrimp toast, fried","2020-04-01"
"783066","Tuna noodle casserole with cream or white sauce","2020-04-01"
"783067","Tuna noodle casserole with mushroom sauce","2020-04-01"
"783068","Tuna and rice with mushroom sauce","2020-04-01"
"783069","Fish and rice with tomato-based sauce","2020-04-01"
"783070","Fish and rice with cream sauce","2020-04-01"
"783071","Fish and rice with mushroom sauce","2020-04-01"
"783072","Fish and noodles with mushroom sauce","2020-04-01"
"783073","Shellfish and noodles with tomato-based sauce","2020-04-01"
"783074","Stewed salmon, Puerto Rican style","2020-04-01"
"783102","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","2020-04-01"
"783103","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","2020-04-01"
"783106","Beef chow mein or chop suey with noodles","2020-04-01"
"783107","Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","2020-04-01"
"783108","Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","2020-04-01"
"783127","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","2020-04-01"
"783128","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","2020-04-01"
"783148","Pork chow mein or chop suey with noodles","2020-04-01"
"783149","Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","2020-04-01"
"783150","Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","2020-04-01"
"783155","Sweet and sour pork with rice","2020-04-01"
"783176","Chicken or turkey, potatoes, corn, and cheese, with gravy","2020-04-01"
"783177","Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","2020-04-01"
"783178","Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","2020-04-01"
"783179","Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","2020-04-01"
"783180","Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","2020-04-01"
"783181","Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce","2020-04-01"
"783182","Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce","2020-04-01"
"783183","Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce","2020-04-01"
"783184","Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","2020-04-01"
"783185","Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","2020-04-01"
"783186","Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","2020-04-01"
"783187","Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","2020-04-01"
"783188","Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","2020-04-01"
"783189","Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","2020-04-01"
"783190","Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce","2020-04-01"
"783191","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","2020-04-01"
"783192","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","2020-04-01"
"783193","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","2020-04-01"
"783194","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","2020-04-01"
"783195","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce","2020-04-01"
"783196","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce","2020-04-01"
"783197","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","2020-04-01"
"783198","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","2020-04-01"
"783199","Chicken or turkey chow mein or chop suey with noodles","2020-04-01"
"783200","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce","2020-04-01"
"783201","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","2020-04-01"
"783202","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","2020-04-01"
"783203","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","2020-04-01"
"783204","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","2020-04-01"
"783205","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","2020-04-01"
"783206","Chicken or turkey, rice, corn, and cheese, with gravy","2020-04-01"
"783207","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","2020-04-01"
"783208","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","2020-04-01"
"783209","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce","2020-04-01"
"783210","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce","2020-04-01"
"783211","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce","2020-04-01"
"783212","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","2020-04-01"
"783213","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","2020-04-01"
"783214","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","2020-04-01"
"783215","Chicken or turkey pot pie","2020-04-01"
"783216","Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","2020-04-01"
"783217","Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce","2020-04-01"
"783218","Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","2020-04-01"
"783219","Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","2020-04-01"
"783220","Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy","2020-04-01"
"783221","Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy","2020-04-01"
"783222","Chicken fricassee, Puerto Rican style","2020-04-01"
"783223","Paella with seafood","2020-04-01"
"783224","Seafood stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","2020-04-01"
"783225","Shrimp chow mein or chop suey with noodles","2020-04-01"
"783226","Shrimp creole, with rice","2020-04-01"
"783227","Tuna pot pie","2020-04-01"
"783228","Tuna noodle casserole with vegetables, cream or white sauce","2020-04-01"
"783229","Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce","2020-04-01"
"783230","Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","2020-04-01"
"783231","Bouillabaisse","2020-04-01"
"783232","Oyster pie","2020-04-01"
"783233","Seafood stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","2020-04-01"
"783234","Tuna noodle casserole with vegetables and mushroom sauce","2020-04-01"
"783235","Codfish with starchy vegetables, Puerto Rican style","2020-04-01"
"783236","Stewed codfish, Puerto Rican style","2020-04-01"
"783237","Biscayne codfish, Puerto Rican style","2020-04-01"
"783241","Chow mein or chop suey, NS as to type of meat, with noodles","2020-04-01"
"783242","Paella, NFS","2020-04-01"
"783244","Chow mein or chop suey, various types of meat, with noodles","2020-04-01"
"783247","Gumbo with rice","2020-04-01"
"783248","Jambalaya with meat and rice","2020-04-01"
"783258","Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","2020-04-01"
"783259","Beef and broccoli","2020-04-01"
"783260","Beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","2020-04-01"
"783261","Szechuan beef","2020-04-01"
"783262","Hunan beef","2020-04-01"
"783263","Beef chow mein or chop suey, no noodles","2020-04-01"
"783264","Kung Pao beef","2020-04-01"
"783265","Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","2020-04-01"
"783266","Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce","2020-04-01"
"783271","Beef taco filling: beef, cheese, tomato, taco sauce","2020-04-01"
"783272","Stir fried beef and vegetables in soy sauce","2020-04-01"
"783284","Pork, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-base sauce","2020-04-01"
"783285","Pork and vegetables, Hawaiian style","2020-04-01"
"783286","Pork and watercress with soy-based sauce","2020-04-01"
"783287","Kung Pao pork","2020-04-01"
"783288","Moo Shu pork, without Chinese pancake","2020-04-01"
"783289","Pork and onions with soy-based sauce","2020-04-01"
"783294","Pork, tofu, and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","2020-04-01"
"783295","Pork chow mein or chop suey, no noodles","2020-04-01"
"783301","Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","2020-04-01"
"783302","Pork and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, soy-based sauce","2020-04-01"
"783313","Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce","2020-04-01"
"783314","Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","2020-04-01"
"783315","Chicken or turkey shish kabob with vegetables, excluding potatoes","2020-04-01"
"783316","Chicken or turkey creole, without rice","2020-04-01"
"783317","Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy","2020-04-01"
"783318","Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy","2020-04-01"
"783319","Chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce","2020-04-01"
"783320","Chicken or turkey a la king with vegetables excluding carrorts, broccoli, and dark-green leafy; no potatoes, cream, white, or soup-based sauce","2020-04-01"
"783321","Chicken or turkey divan","2020-04-01"
"783322","Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","2020-04-01"
"783323","Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","2020-04-01"
"783324","Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce","2020-04-01"
"783325","Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce","2020-04-01"
"783326","General Tso chicken","2020-04-01"
"783327","Moo Goo Gai Pan","2020-04-01"
"783328","Kung pao chicken","2020-04-01"
"783329","Almond chicken","2020-04-01"
"783330","Chicken or turkey chow mein or chop suey, no noodles","2020-04-01"
"783331","Chicken or turkey salad, made with mayonnaise","2020-04-01"
"783332","Chicken or turkey salad with nuts and/or fruits","2020-04-01"
"783333","Chicken or turkey salad with egg","2020-04-01"
"783334","Chicken or turkey salad, made with light mayonnaise","2020-04-01"
"783335","Chicken or turkey salad, made with mayonnaise-type salad dressing","2020-04-01"
"783336","Chicken or turkey salad, made with light mayonnaise-type salad dressing","2020-04-01"
"783337","Chicken or turkey salad, made with creamy dressing","2020-04-01"
"783338","Chicken or turkey salad, made with light creamy dressing","2020-04-01"
"783339","Chicken or turkey salad, made with Italian dressing","2020-04-01"
"783340","Chicken or turkey salad, made with light Italian dressing","2020-04-01"
"783341","Chicken or turkey salad, made with any type of fat free dressing","2020-04-01"
"783342","Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing","2020-04-01"
"783343","Chicken or turkey garden salad, chicken and/or turkey, other vegetables excluding tomato and carrots, no dressing","2020-04-01"
"783344","Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing","2020-04-01"
"783345","Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing","2020-04-01"
"783346","Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing","2020-04-01"
"783347","Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing","2020-04-01"
"783348","Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing","2020-04-01"
"783349","Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing","2020-04-01"
"783350","Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing","2020-04-01"
"783351","Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing","2020-04-01"
"783352","Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce","2020-04-01"
"783353","Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, cheese sauce","2020-04-01"
"783354","Chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, Puerto Rican style","2020-04-01"
"783355","Chicken or turkey fricassee, no sauce, no potatoes, Puerto Rican style","2020-04-01"
"783356","Crab salad","2020-04-01"
"783357","Lobster salad","2020-04-01"
"783358","Salmon salad","2020-04-01"
"783359","Shrimp chow mein or chop suey, no noodles","2020-04-01"
"783360","Tuna salad, made with mayonnaise","2020-04-01"
"783361","Tuna salad, made with light mayonnaise","2020-04-01"
"783362","Tuna salad, made with mayonnaise-type salad dressing","2020-04-01"
"783363","Tuna salad, made with light mayonnaise-type salad dressing","2020-04-01"
"783364","Tuna salad, made with creamy dressing","2020-04-01"
"783365","Tuna salad, made with light creamy dressing","2020-04-01"
"783366","Tuna salad, made with Italian dressing","2020-04-01"
"783367","Tuna salad, made with light Italian dressing","2020-04-01"
"783368","Tuna salad, made with any type of fat free dressing","2020-04-01"
"783369","Shrimp salad","2020-04-01"
"783370","Seafood salad","2020-04-01"
"783371","Tuna salad with cheese","2020-04-01"
"783372","Tuna salad with egg","2020-04-01"
"783373","Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing","2020-04-01"
"783374","Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing","2020-04-01"
"783375","Crab salad made with imitation crab","2020-04-01"
"783376","Fish, tofu, and vegetables, tempura","2020-04-01"
"783377","Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing","2020-04-01"
"783378","Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing","2020-04-01"
"783379","Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing","2020-04-01"
"783380","Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing","2020-04-01"
"783381","Oysters Rockefeller","2020-04-01"
"783382","Lomi salmon","2020-04-01"
"783383","Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce","2020-04-01"
"783384","Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","2020-04-01"
